StockCode,Description,CurrentUnitPrice
10002,Inflatable Political Globe – Large inflatable globe with political borders for education and classroom decor.,0.85
10120,"Doggy Rubber Toy – Durable rubber chew toy for dogs, ideal for teething and interactive play.",0.21
10124A,"Red Spot-Pattern Book Cover Tape – Decorative adhesive tape with a spotted design on a red background, ideal for decorating book covers and craft projects.",0.42
10125,"Mini Funky Design Washi Tape Set – Assorted mini decorative tapes with bold, quirky patterns.",0.85
10133,Brown Tube Colouring Pencils – Assorted colours in a compact tube for convenient storage.,0.42
10135,Brown Tube Colouring Pencils – Assorted colours in a compact tube for convenient storage.,1.25
11001,Assorted Racing Car Pens – Pack of pens featuring multiple racing-car designs.,1.69
15030,Black Frame Desk Fan – Compact electric desk fan with a sleek black frame for personal cooling.,0.29
15034,Pocket-Sized Paper Hand Fan – Portable folding travel fan for on-the-go cooling.,0.14
15036,Assorted Colours Silk Fan – Handheld folding silk fan with multi-colour patterns.,0.83
15039,"Sandalwood Hand Fan – Handcrafted sandalwood folding fan; aromatic, lightweight decorative cooling accessory.",0.85
15044A,Pink Paper Parasol – Decorative pink parasol with paper canopy for party decor and photo shoots.,2.95
15044B,"Blue Paper Parasol – Lightweight decorative parasol with a blue paper canopy; ideal for weddings, events, and photoshoots.",2.95
15044C,"Purple Paper Parasol – Handheld decorative parasol with purple paper canopy; ideal for weddings, photoshoots, and party decor.",2.95
15044D,"Red Paper Parasol – Decorative handheld parasol with red paper canopy and bamboo frame; ideal for weddings, events, and photo shoots.",2.95
15056BL,Edwardian Parasol Black – Vintage Edwardian-style sun umbrella with a black canopy.,5.95
15056N,"Edwardian Parasol Natural – Vintage Edwardian-style parasol with a natural canvas canopy, wooden shaft and curved handle.",5.95
15056P,Edwardian Pink Parasol – Vintage-inspired pink parasol with lace trim and curved handle.,5.95
15058A,Blue Polka Dot Garden Parasol – Outdoor shade umbrella with a blue polka-dot canopy.,7.95
15058B,Pink Polka Dot Garden Parasol – Lightweight UV-protective parasol with pink polka-dot canopy for garden shade.,7.95
15058C,Ice Cream Design Garden Parasol – Ice-cream-themed outdoor garden parasol for sunny days.,7.95
15060B,Fairy Cake Design Umbrella – Whimsical children's umbrella featuring a fairy cake motif in pastel colors.,3.75
16008,"Small Folding Scissors (Pointed Edge) – Compact, portable scissors with a pointed tip for precise cutting in crafts and trimming.",0.12
16010,Folding Camping Scissors with Knife & Saw – Compact outdoor multi-tool scissors with built-in knife blade and saw for camping and hiking.,0.12
16011,"Animal Stickers – Assorted Cute Animal Vinyl Sticker Set for Scrapbooking, Journaling, and Kids’ Crafts.",0.21
16012,"Food & Drink Sponge Sticker Set – Sponge-shaped stickers featuring food and beverage motifs for crafts, scrapbooking, and party decorations.",0.21
16014,Small Chinese-Style Embroidery Scissors – Compact precision scissors for delicate fabric and thread work.,0.42
16015,Medium Chinese-Style Scissors – Medium-sized craft scissors with traditional Chinese design accents and sharp blades for precise cutting.,0.5
16016,Large Chinese-Style Scissors – Heavy-duty utility scissors with long blades for versatile cutting tasks.,0.85
16033,Mini Highlighter Pens – Assorted Neon Colors Set – Pocket-sized highlighters with chisel tips for precise highlighting.,0.12
16043,Pop Art Push-Down Eraser – Bold pop-art design pencil eraser with a convenient push-down mechanism.,0.12
16045,Pop Art Wooden Pencils – Assorted designs on wooden pencils with bold pop-art prints.,0.04
16048,"Teatime Round Pencil Sharpener – Compact round sharpener for standard pencils; portable desk accessory ideal for home, school, and office.",0.12
16052,Tea Time Push-Down Eraser – Tea-time themed pencil eraser with a convenient push-down mechanism for quick corrections.,0.19
16054,Pop-Art Rectangular Pencil Sharpener – Assorted designs.,0.12
16151A,Floral Handbag – Blue and Orange Flower Print,1.25
16156L,Carousel Gift Wrap – Festive wrapping paper featuring a colorful carousel design.,0.42
16156S,Pink Fairy Cakes Gift Wrap – Delicate pink gift wrap featuring whimsical fairy cake motifs.,0.42
16161G,Bad Hair Day Gift Wrap – Humorous wrap paper featuring a playful bad-hair-day motif.,0.1
16161P,English Rose Gift Wrap – Floral wrapping paper featuring a classic English rose design.,0.42
16161U,"Suki and Friends Gift Wrap – Colorful character-themed wrapping paper featuring Suki and friends, perfect for gifting.",0.42
16162L,King Gift Bag – Royal-themed gift bag for presents.,0.65
16168M,Funky Monkey Gift Bag (Medium) – Medium-sized gift bag featuring a Funky Monkey design.,0.42
16169E,50s Christmas Gift Wrap – Retro 1950s-style festive wrapping paper with vintage Christmas motifs.,0.42
16169K,"Folk Art Gift Wrap – Colorful, folk-art-inspired wrapping paper with traditional motifs for festive gifts.",0.42
16169M,Daisy Carpet Gift Wrap – Floral wrapping paper featuring a dense daisy carpet pattern.,0.42
16169P,Green Russian Folk Art Gift Wrap – Traditional Russian folk-art patterns in green for festive gift wrapping.,0.42
